Symptoms,Disease
"shortness of breath, abdominal pain, sore throat, tremors, blurred vision, weight gain,6",Gastritis
"rash, cough, sneezing, weight gain, nausea, tremors, back pain,7",Ulcer
"diarrhea, back pain, abdominal pain,3",Arthritis
"sneezing, rash, joint pain,3",Asthma
"diarrhea, dizziness, tremors, muscle pain, back pain, sweating,6",Stroke
"abdominal pain, insomnia, cough,3",Food Poisoning
"sore throat, runny nose, chest pain, swelling, appetite loss, dizziness,6",Influenza
"vomiting, chest pain, weight gain, appetite loss, back pain,5",Common Cold
"sneezing, swelling, sweating, vomiting, back pain, weight loss, diarrhea,7",Food Poisoning
"weight loss, rash, depression, sweating,4",Common Cold
"tremors, back pain, sweating, chest pain, fatigue, vomiting,6",Common Cold
"headache, blurred vision, shortness of breath,3",Migraine
"muscle pain, blurred vision, rash, runny nose, back pain, sore throat, weight gain,7",Sinusitis
"sore throat, weight gain, sweating, cough, muscle pain, insomnia,6",Allergy
"appetite loss, joint pain, blurred vision, sweating, back pain,5",Heart Disease
"sore throat, vomiting, headache, swelling,4",Heart Disease
"nausea, runny nose, dizziness,3",Tuberculosis
"runny nose, chest pain, shortness of breath, tremors,4",Food Poisoning
"sweating, blurred vision, anxiety, cough, vomiting,5",Depression
"rash, joint pain, abdominal pain, cough,4",COVID-19
"fever, joint pain, tremors, runny nose,4",Anxiety
"fatigue, appetite loss, sweating, headache, tremors, fever,6",Pneumonia
"rash, insomnia, depression, appetite loss, sore throat, weight gain,6",Hypertension
"vomiting, depression, runny nose,3",Common Cold
"fatigue, cough, runny nose, nausea, weight gain,5",Sinusitis
"insomnia, muscle pain, nausea, rash, vomiting, appetite loss,6",Common Cold
"cough, anxiety, diarrhea, depression,4",Sinusitis
"sneezing, cough, sore throat, shortness of breath, joint pain, headache, muscle pain,7",Sinusitis
"appetite loss, fever, joint pain, blurred vision, rash, sneezing, weight loss,7",Asthma
"abdominal pain, dizziness, joint pain, shortness of breath, nausea, fever, sweating,7",Bronchitis
"cough, appetite loss, sneezing, abdominal pain, rash,5",Sinusitis
"diarrhea, insomnia, shortness of breath,3",Diabetes
"rash, sweating, nausea, appetite loss, diarrhea, weight gain,6",Dementia
"fever, blurred vision, sweating, rash, weight gain, back pain, headache,7",Bronchitis
"nausea, sneezing, cough, sore throat, diarrhea,5",Stroke
"fever, dizziness, anxiety, vomiting, headache, sweating,6",Epilepsy
"headache, weight gain, blurred vision,3",Influenza
"sore throat, rash, blurred vision, insomnia, joint pain,5",Dermatitis
"headache, nausea, back pain, muscle pain, appetite loss,5",Chronic Kidney Disease
"blurred vision, weight loss, anxiety, appetite loss,4",Gastritis
"joint pain, chest pain, back pain, blurred vision,4",Dementia
"blurred vision, weight gain, joint pain,3",Thyroid Disorder
"dizziness, appetite loss, anxiety, diarrhea, depression, weight gain, fatigue,7",Diabetes
"diarrhea, rash, dizziness,3",Thyroid Disorder
"runny nose, fever, shortness of breath, vomiting, diarrhea,5",Anxiety
"back pain, fever, cough,3",Heart Disease
"muscle pain, sneezing, joint pain, rash,4",Liver Disease
"appetite loss, weight gain, depression, swelling, insomnia, diarrhea,6",Anxiety
"chest pain, fever, dizziness,3",Depression
"joint pain, nausea, back pain, sore throat,4",Gastritis
"sneezing, blurred vision, fever, muscle pain, depression, nausea, anxiety,7",Parkinson's
"vomiting, muscle pain, blurred vision, weight loss, back pain,5",Pneumonia
"chest pain, diarrhea, fatigue, cough, joint pain,5",Arthritis
"rash, fever, muscle pain,3",Tuberculosis
"sneezing, vomiting, fatigue, fever, sweating, nausea, depression,7",Allergy
"chest pain, appetite loss, joint pain,3",Dermatitis
"depression, weight loss, joint pain,3",Heart Disease
"runny nose, cough, shortness of breath, diarrhea,4",Food Poisoning
"swelling, blurred vision, insomnia, fatigue,4",Influenza
"muscle pain, swelling, weight gain, diarrhea, weight loss, cough, joint pain,7",Depression
"weight gain, diarrhea, sneezing, chest pain, sore throat, joint pain,6",Stroke
"appetite loss, weight gain, insomnia, anxiety, headache, fatigue, runny nose,7",Dementia
"headache, cough, muscle pain, sore throat,4",Depression
"sweating, anxiety, shortness of breath, dizziness,4",Anxiety
"joint pain, weight loss, dizziness, shortness of breath, abdominal pain, runny nose, fever,7",IBS
"appetite loss, muscle pain, fatigue, sweating, headache, back pain, weight gain,7",Dementia
"weight gain, swelling, fatigue,3",Bronchitis
"muscle pain, shortness of breath, joint pain, depression, sneezing,5",Sinusitis
"shortness of breath, joint pain, headache, anxiety,4",Influenza
"joint pain, dizziness, blurred vision,3",IBS
"rash, fever, dizziness, sweating, appetite loss,5",Migraine
"tremors, blurred vision, insomnia, fatigue, diarrhea, headache,6",Anxiety
"anxiety, depression, sore throat, vomiting, runny nose, swelling,6",Heart Disease
"tremors, rash, cough, abdominal pain, nausea, sore throat, chest pain,7",Migraine
"weight gain, fever, nausea, vomiting, swelling, cough, diarrhea,7",Tuberculosis
"blurred vision, vomiting, shortness of breath, rash, sweating,5",Bronchitis
"insomnia, fever, diarrhea,3",Allergy
"tremors, sneezing, weight gain, weight loss,4",Ulcer
"back pain, sweating, blurred vision, sore throat, chest pain,5",Anxiety
"swelling, vomiting, diarrhea, depression, appetite loss, insomnia, sweating,7",Diabetes
"tremors, swelling, insomnia,3",Epilepsy
"anxiety, appetite loss, fever, diarrhea,4",Allergy
"muscle pain, joint pain, tremors, rash, runny nose,5",Anemia
"sweating, anxiety, joint pain, weight gain, fatigue, fever, abdominal pain,7",Chronic Kidney Disease
"anxiety, chest pain, sweating, insomnia, fatigue, sneezing, sore throat,7",Allergy
"shortness of breath, depression, blurred vision, chest pain, vomiting,5",Gastritis
"appetite loss, tremors, anxiety,3",Sinusitis
"back pain, fever, depression, sneezing,4",Arthritis
"back pain, cough, weight gain, blurred vision, appetite loss, vomiting,6",IBS
"insomnia, rash, abdominal pain, chest pain, nausea, tremors,6",Stroke
"headache, back pain, shortness of breath, sweating, weight loss, nausea,6",Pneumonia
"rash, diarrhea, back pain, tremors,4",COVID-19
"weight gain, chest pain, runny nose, tremors, fatigue,5",Food Poisoning
"anxiety, sore throat, sneezing, vomiting, abdominal pain, fatigue, insomnia,7",Dementia
"tremors, headache, vomiting,3",Liver Disease
"headache, dizziness, blurred vision, nausea, sore throat, sneezing,6",Sinusitis
"fever, runny nose, shortness of breath,3",Gastritis
"sneezing, appetite loss, swelling, sore throat,4",Obesity
"joint pain, muscle pain, sneezing, tremors, fever, cough,6",Allergy
"dizziness, swelling, sweating,3",Food Poisoning
"depression, back pain, diarrhea,3",Arthritis
"fatigue, joint pain, abdominal pain, weight gain,4",Chronic Kidney Disease
"chest pain, runny nose, back pain,3",Anxiety
"insomnia, headache, dizziness, sneezing, rash, vomiting,6",Gastritis
"back pain, headache, vomiting, fever,4",Asthma
"blurred vision, depression, appetite loss, cough, joint pain,5",Pneumonia
"anxiety, cough, insomnia,3",Parkinson's
"muscle pain, runny nose, joint pain,3",Influenza
"vomiting, blurred vision, insomnia, depression,4",Migraine
"insomnia, abdominal pain, shortness of breath,3",Arthritis
"sweating, fatigue, abdominal pain, back pain, anxiety, tremors,6",Tuberculosis
"anxiety, vomiting, swelling, shortness of breath,4",Migraine
"chest pain, nausea, cough, weight loss, sneezing, vomiting,6",Food Poisoning
"fever, insomnia, sore throat,3",Asthma
"sore throat, swelling, abdominal pain, back pain,4",Migraine
"runny nose, chest pain, shortness of breath, cough,4",Allergy
"rash, appetite loss, insomnia, dizziness, muscle pain,5",Dermatitis
"fever, tremors, headache,3",Dermatitis
"runny nose, anxiety, shortness of breath, back pain, sore throat,5",Gastritis
"joint pain, runny nose, shortness of breath, tremors, blurred vision, sneezing,6",Pneumonia
"fatigue, headache, blurred vision, back pain,4",Sinusitis
"sneezing, appetite loss, weight gain, insomnia, runny nose, nausea, anxiety,7",Liver Disease
"sneezing, fatigue, muscle pain, runny nose,4",Common Cold
"fever, blurred vision, tremors, insomnia, abdominal pain,5",Allergy
"insomnia, tremors, dizziness, abdominal pain,4",Dementia
"muscle pain, insomnia, back pain,3",Parkinson's
"headache, sweating, weight loss, anxiety, cough, fever,6",Arthritis
"tremors, sneezing, nausea, sore throat, sweating, dizziness,6",Dermatitis
"diarrhea, weight loss, depression, joint pain, swelling, tremors, sore throat,7",Influenza
"tremors, sneezing, runny nose,3",Ulcer
"fatigue, joint pain, muscle pain,3",Thyroid Disorder
"appetite loss, anxiety, depression,3",Common Cold
"dizziness, rash, cough, diarrhea, runny nose, tremors,6",Hypertension
"blurred vision, runny nose, fatigue, swelling, insomnia,5",Migraine
"weight loss, abdominal pain, rash, blurred vision, fatigue,5",Food Poisoning
"fatigue, shortness of breath, anxiety, vomiting, swelling, tremors,6",Tuberculosis
"blurred vision, dizziness, fatigue, swelling,4",Ulcer
"fatigue, swelling, runny nose, appetite loss, insomnia, weight gain, abdominal pain,7",Anxiety
"weight loss, muscle pain, sweating,3",Epilepsy
"blurred vision, weight gain, nausea, back pain,4",Obesity
"anxiety, dizziness, abdominal pain, joint pain, muscle pain, tremors, diarrhea,7",IBS
"appetite loss, headache, sweating, muscle pain, anxiety, blurred vision,6",Chronic Kidney Disease
"tremors, dizziness, blurred vision, back pain, weight loss, depression, vomiting,7",Anxiety
"insomnia, rash, headache, blurred vision, depression,5",Anemia
"blurred vision, fatigue, swelling, rash, weight loss,5",Anemia
"insomnia, back pain, weight loss, chest pain, muscle pain, fever,6",Arthritis
"cough, insomnia, vomiting, shortness of breath,4",IBS
"headache, sweating, cough, blurred vision, appetite loss,5",Arthritis
"sweating, runny nose, fatigue, anxiety, tremors,5",Influenza
"joint pain, diarrhea, abdominal pain, blurred vision, chest pain, swelling, insomnia,7",Thyroid Disorder
"weight loss, cough, fever, back pain, shortness of breath,5",Liver Disease
"depression, blurred vision, rash, swelling,4",Anxiety
"swelling, back pain, vomiting, chest pain,4",Parkinson's
"nausea, back pain, abdominal pain, fatigue,4",COVID-19
"shortness of breath, headache, nausea, weight gain, tremors, fever, dizziness,7",Heart Disease
"anxiety, cough, swelling, depression, sweating,5",Tuberculosis
"weight loss, rash, sore throat, blurred vision, dizziness, abdominal pain, diarrhea,7",Depression
"nausea, muscle pain, weight loss, appetite loss, joint pain, sore throat, rash,7",Depression
"rash, chest pain, vomiting, swelling, anxiety,5",Gastritis
"fatigue, insomnia, rash,3",Anxiety
"diarrhea, cough, insomnia, dizziness, joint pain, fatigue, back pain,7",Parkinson's
"abdominal pain, sweating, swelling,3",Chronic Kidney Disease
"cough, chest pain, depression, vomiting, dizziness, abdominal pain,6",Ulcer
"weight loss, fever, depression, sore throat, vomiting, insomnia, appetite loss,7",Obesity
"vomiting, weight loss, sweating,3",Liver Disease
"back pain, insomnia, headache,3",Anxiety
"sore throat, cough, nausea,3",Gastritis
"sweating, diarrhea, shortness of breath, muscle pain, joint pain, runny nose, depression,7",COVID-19
"insomnia, fatigue, weight loss, fever, depression, anxiety,6",Common Cold
"rash, abdominal pain, fatigue,3",Anemia
"chest pain, swelling, runny nose,3",Parkinson's
"nausea, weight loss, diarrhea, headache, back pain, joint pain,6",Common Cold
"chest pain, insomnia, appetite loss, tremors,4",Allergy
"tremors, weight loss, headache, fatigue, cough, fever, weight gain,7",Common Cold
"chest pain, vomiting, back pain,3",Stroke
"headache, nausea, sweating, diarrhea, anxiety, shortness of breath, vomiting,7",Liver Disease
"tremors, cough, swelling, weight loss, runny nose, depression, appetite loss,7",Depression
"fatigue, vomiting, back pain, weight gain, sneezing,5",COVID-19
"fatigue, chest pain, anxiety, sore throat,4",Arthritis
"anxiety, insomnia, chest pain, blurred vision, weight gain,5",Ulcer
"muscle pain, nausea, fever, dizziness, diarrhea,5",Food Poisoning
"shortness of breath, sweating, rash, headache, insomnia, dizziness,6",Thyroid Disorder
"sneezing, weight loss, fatigue, nausea, depression,5",Food Poisoning
"weight loss, vomiting, shortness of breath, back pain,4",Dermatitis
"tremors, abdominal pain, depression,3",COVID-19
"vomiting, cough, weight loss, shortness of breath, appetite loss, back pain, sneezing,7",IBS
"swelling, weight gain, back pain, tremors,4",IBS
"sore throat, joint pain, rash, abdominal pain, fever, insomnia, diarrhea,7",Epilepsy
"headache, runny nose, nausea, appetite loss, weight gain, back pain, insomnia,7",Diabetes
"swelling, sneezing, diarrhea, sore throat,4",Influenza
"abdominal pain, appetite loss, rash, joint pain,4",Influenza
"fatigue, blurred vision, abdominal pain, depression, sweating,5",Influenza
"nausea, joint pain, depression, sweating, rash, weight gain, appetite loss,7",Stroke
"diarrhea, abdominal pain, joint pain, rash, swelling, sneezing,6",Heart Disease
"headache, runny nose, nausea, diarrhea, sore throat, abdominal pain, depression,7",Common Cold
"rash, anxiety, blurred vision, sweating,4",Diabetes
"back pain, fatigue, sneezing, insomnia, vomiting,5",Liver Disease
"fever, diarrhea, cough, headache, weight gain, back pain,6",Anxiety
"weight gain, headache, cough,3",Epilepsy
"anxiety, weight gain, depression, fever, back pain, insomnia,6",Epilepsy
"anxiety, sneezing, sweating, nausea, diarrhea, muscle pain,6",Hypertension
"anxiety, insomnia, abdominal pain, shortness of breath,4",Anxiety
"anxiety, weight gain, sore throat, diarrhea, joint pain, back pain,6",Bronchitis
"tremors, abdominal pain, insomnia, muscle pain, headache, anxiety, fatigue,7",Hypertension
"appetite loss, weight loss, abdominal pain,3",Parkinson's
"anxiety, weight loss, sweating, fever,4",Migraine
"muscle pain, rash, cough, blurred vision, abdominal pain, tremors, diarrhea,7",Liver Disease
"appetite loss, back pain, swelling, blurred vision, weight gain, fatigue, muscle pain,7",Food Poisoning
"tremors, sore throat, chest pain, anxiety,4",Obesity
"blurred vision, back pain, appetite loss,3",Hypertension
"fever, joint pain, depression, vomiting, blurred vision, dizziness, muscle pain,7",Pneumonia
"shortness of breath, tremors, weight loss, muscle pain, weight gain, rash, anxiety,7",Liver Disease
"muscle pain, weight loss, appetite loss, sneezing,4",Obesity
"shortness of breath, chest pain, weight gain, rash, blurred vision, joint pain,6",Stroke
"runny nose, appetite loss, blurred vision, nausea,4",Pneumonia
"appetite loss, weight loss, anxiety, blurred vision, insomnia,5",IBS
"appetite loss, sore throat, sweating,3",IBS
"sore throat, shortness of breath, diarrhea,3",Liver Disease
"joint pain, anxiety, depression, abdominal pain, chest pain, blurred vision,6",Influenza
"runny nose, fever, vomiting, insomnia, abdominal pain, chest pain,6",Allergy
"blurred vision, diarrhea, anxiety, nausea, insomnia, cough, rash,7",Epilepsy
"shortness of breath, swelling, joint pain,3",Diabetes
"vomiting, abdominal pain, fever, back pain, blurred vision, sore throat, swelling,7",IBS
"weight gain, rash, sweating, shortness of breath, diarrhea, anxiety, vomiting,7",Anxiety
"nausea, muscle pain, abdominal pain, fatigue, weight loss,5",Common Cold
"appetite loss, abdominal pain, shortness of breath,3",Gastritis
